ID,Lat,Lon,Lower depth (cm),Upper depth (cm),clay,ph,sand,silt
129,-28.168,-62.99,100.0,80.0,10.9,7.4,48.0,41.0
130,44.3333333333333,88.05,20.0,0.0,26.025000000000002,8.45,30.95,43.0
131,44.3333333333333,88.05,100.0,20.0,28.35,8.45,31.475,40.175
132,44.3333333333333,88.05,200.0,100.0,27.2,8.5,36.1,36.7
133,44.3333333333333,88.05,20.0,0.0,26.025000000000002,8.45,30.95,43.0
134,44.3333333333333,88.05,100.0,20.0,28.35,8.45,31.475,40.175
135,44.3333333333333,88.05,200.0,100.0,27.2,8.5,36.1,36.7
136,44.3333333333333,88.05,20.0,0.0,26.025000000000002,8.45,30.95,43.0
137,44.3333333333333,88.05,100.0,20.0,28.35,8.45,31.475,40.175
138,44.3333333333333,88.05,200.0,100.0,27.2,8.5,36.1,36.7
139,44.3333333333333,88.05,20.0,0.0,26.025000000000002,8.45,30.95,43.0
140,44.3333333333333,88.05,100.0,20.0,28.35,8.45,31.475,40.175
141,44.3333333333333,88.05,200.0,100.0,27.2,8.5,36.1,36.7
142,44.3333333333333,88.05,20.0,0.0,26.025000000000002,8.45,30.95,43.0
143,44.3333333333333,88.05,100.0,20.0,28.35,8.45,31.475,40.175
144,44.3333333333333,88.05,200.0,100.0,27.2,8.5,36.1,36.7
145,-26.9,148.89,10.0,0.0,34.15,7.1,55.0,10.9
146,-26.9,148.89,30.0,10.0,37.225,7.6000000000000005,52.125,10.649999999999999
147,-26.9,148.89,60.0,30.0,37.5,7.9,51.2,11.3
148,-26.9,148.89,10.0,0.0,34.15,7.1,55.0,10.9
149,-26.9,148.89,30.0,10.0,37.225,7.6000000000000005,52.125,10.649999999999999
150,-26.9,148.89,60.0,30.0,37.5,7.9,51.2,11.3
151,-26.9,148.89,10.0,0.0,34.15,7.1,55.0,10.9
152,-26.9,148.89,30.0,10.0,37.225,7.6000000000000005,52.125,10.649999999999999
153,-26.9,148.89,60.0,30.0,37.5,7.9,51.2,11.3
154,-28.2581,29.1007672307699,5.0,0.0,26.5,6.2,52.2,21.3
155,-28.2581,29.1007672307699,10.0,5.0,26.3,6.2,53.5,20.2
156,-28.2581,29.1007672307699,20.0,10.0,28.3,6.25,51.85,19.85
157,-27.6668,27.1956,5.0,0.0,22.7,6.7,67.5,9.8
158,-27.6668,27.1956,10.0,5.0,22.8,6.7,68.1,9.2
159,-27.6668,27.1956,20.0,10.0,27.05,6.75,64.3,8.7
160,-29.1878,27.0293,5.0,0.0,28.7,6.6,57.7,13.7
161,-29.1878,27.0293,10.0,5.0,25.5,6.6,61.2,13.3
162,-29.1878,27.0293,20.0,10.0,28.65,6.65,58.05,13.3
163,44.2916666666666,87.7916666666666,20.0,0.0,24.4,8.775,44.525,31.05
164,44.2916666666666,87.7916666666666,40.0,20.0,23.5,8.75,46.55,29.9
165,44.2916666666666,87.7916666666666,60.0,40.0,22.6,8.7,47.6,29.8
166,44.2916666666666,87.7916666666666,80.0,60.0,22.4,8.9,50.0,27.6
167,44.2916666666666,87.7916666666666,100.0,80.0,22.4,8.9,50.0,27.6
168,44.2916666666666,87.7916666666666,120.0,100.0,23.4,8.9,51.9,24.7
169,44.2916666666666,87.7916666666666,140.0,120.0,23.4,8.9,51.9,24.7
170,44.2916666666666,87.7916666666666,160.0,140.0,23.4,8.9,51.9,24.7
171,44.2916666666666,87.7916666666666,180.0,160.0,23.4,8.9,51.9,24.7
172,44.2916666666666,87.7916666666666,200.0,180.0,23.4,8.9,51.9,24.7
173,44.2916666666666,87.7916666666666,20.0,0.0,24.4,8.775,44.525,31.05
174,44.2916666666666,87.7916666666666,40.0,20.0,23.5,8.75,46.55,29.9
175,44.2916666666666,87.7916666666666,60.0,40.0,22.6,8.7,47.6,29.8
176,44.2916666666666,87.7916666666666,80.0,60.0,22.4,8.9,50.0,27.6
177,44.2916666666666,87.7916666666666,100.0,80.0,22.4,8.9,50.0,27.6
178,44.2916666666666,87.7916666666666,120.0,100.0,23.4,8.9,51.9,24.7
179,44.2916666666666,87.7916666666666,140.0,120.0,23.4,8.9,51.9,24.7
180,44.2916666666666,87.7916666666666,160.0,140.0,23.4,8.9,51.9,24.7
181,44.2916666666666,87.7916666666666,180.0,160.0,23.4,8.9,51.9,24.7
182,44.2916666666666,87.7916666666666,200.0,180.0,23.4,8.9,51.9,24.7
183,44.2916666666666,87.7916666666666,20.0,0.0,24.4,8.775,44.525,31.05
184,44.2916666666666,87.7916666666666,40.0,20.0,23.5,8.75,46.55,29.9
185,44.2916666666666,87.7916666666666,60.0,40.0,22.6,8.7,47.6,29.8
186,44.2916666666666,87.7916666666666,80.0,60.0,22.4,8.9,50.0,27.6
187,44.2916666666666,87.7916666666666,100.0,80.0,22.4,8.9,50.0,27.6
188,44.2916666666666,87.7916666666666,120.0,100.0,23.4,8.9,51.9,24.7
189,44.2916666666666,87.7916666666666,140.0,120.0,23.4,8.9,51.9,24.7
190,44.2916666666666,87.7916666666666,160.0,140.0,23.4,8.9,51.9,24.7
191,44.2916666666666,87.7916666666666,180.0,160.0,23.4,8.9,51.9,24.7
192,44.2916666666666,87.7916666666666,200.0,180.0,23.4,8.9,51.9,24.7
193,44.2916666666666,87.7916666666666,20.0,0.0,24.4,8.775,44.525,31.05
194,44.2916666666666,87.7916666666666,40.0,20.0,23.5,8.75,46.55,29.9
195,44.2916666666666,87.7916666666666,60.0,40.0,22.6,8.7,47.6,29.8
196,44.2916666666666,87.7916666666666,80.0,60.0,22.4,8.9,50.0,27.6
197,44.2916666666666,87.7916666666666,100.0,80.0,22.4,8.9,50.0,27.6
198,44.2916666666666,87.7916666666666,120.0,100.0,23.4,8.9,51.9,24.7
199,44.2916666666666,87.7916666666666,140.0,120.0,23.4,8.9,51.9,24.7
200,44.2916666666666,87.7916666666666,160.0,140.0,23.4,8.9,51.9,24.7
201,44.2916666666666,87.7916666666666,180.0,160.0,23.4,8.9,51.9,24.7
202,44.2916666666666,87.7916666666666,200.0,180.0,23.4,8.9,51.9,24.7
203,44.2916666666666,87.7916666666666,20.0,0.0,24.4,8.775,44.525,31.05
204,44.2916666666666,87.7916666666666,40.0,20.0,23.5,8.75,46.55,29.9
205,44.2916666666666,87.7916666666666,60.0,40.0,22.6,8.7,47.6,29.8
206,44.2916666666666,87.7916666666666,80.0,60.0,22.4,8.9,50.0,27.6
207,44.2916666666666,87.7916666666666,100.0,80.0,22.4,8.9,50.0,27.6
208,44.2916666666666,87.7916666666666,120.0,100.0,23.4,8.9,51.9,24.7
209,44.2916666666666,87.7916666666666,140.0,120.0,23.4,8.9,51.9,24.7
210,44.2916666666666,87.7916666666666,160.0,140.0,23.4,8.9,51.9,24.7
211,44.2916666666666,87.7916666666666,180.0,160.0,23.4,8.9,51.9,24.7
212,44.2916666666666,87.7916666666666,200.0,180.0,23.4,8.9,51.9,24.7
213,44.2916666666666,87.7916666666666,20.0,0.0,24.4,8.775,44.525,31.05
214,44.2916666666666,87.7916666666666,40.0,20.0,23.5,8.75,46.55,29.9
215,44.2916666666666,87.7916666666666,60.0,40.0,22.6,8.7,47.6,29.8
216,44.2916666666666,87.7916666666666,80.0,60.0,22.4,8.9,50.0,27.6
217,44.2916666666666,87.7916666666666,100.0,80.0,22.4,8.9,50.0,27.6
218,44.2916666666666,87.7916666666666,120.0,100.0,23.4,8.9,51.9,24.7
219,44.2916666666666,87.7916666666666,140.0,120.0,23.4,8.9,51.9,24.7
220,44.2916666666666,87.7916666666666,160.0,140.0,23.4,8.9,51.9,24.7
221,44.2916666666666,87.7916666666666,180.0,160.0,23.4,8.9,51.9,24.7
222,44.2916666666666,87.7916666666666,200.0,180.0,23.4,8.9,51.9,24.7
223,28.9166666666666,89.65,50.0,0.0,19.59,7.74,30.730000000000004,49.68
224,29.15,89.2166666666666,50.0,0.0,19.880000000000003,8.030000000000001,42.69,37.46
225,29.3166666666666,88.3666666666666,50.0,0.0,15.33,7.7299999999999995,52.51,32.14
226,29.35,88.8333333333333,50.0,0.0,14.18,7.609999999999999,50.63,35.230000000000004
227,29.61,89.1,50.0,0.0,13.650000000000002,7.7,54.84,31.599999999999994
228,29.3666666666666,90.85,50.0,0.0,14.01,7.83,56.69,29.300000000000004
229,31.3333333333333,34.65,10.0,0.0,31.5,7.85,34.5,34.0
230,31.3333333333333,34.65,10.0,0.0,31.5,7.85,34.5,34.0
231,42.115,86.483,30.0,0.0,15.066666666666666,8.0,34.71666666666667,50.21666666666666
232,42.115,86.483,100.0,30.0,17.714285714285715,8.257142857142856,36.17142857142857,46.114285714285714
233,-11.3038888888888,-41.8558333333333,5.0,0.0,,,,
234,-11.3038888888888,-41.8558333333333,10.0,5.0,,,,
235,-11.3038888888888,-41.8558333333333,20.0,10.0,,,,
236,-11.3038888888888,-41.8558333333333,30.0,20.0,,,,
237,-11.3038888888888,-41.8558333333333,5.0,0.0,,,,
238,-11.3038888888888,-41.8558333333333,10.0,5.0,,,,
